============================================================
   PITCH RESOURCE GANTT LOG — Thread activity over time
============================================================
Time (us)     Role          Player                    Event
61891         NON_STRIKER   Suryakumar Yadav          RUN_END
62735         STRIKER       Ravindra Jadeja           RUN_END
62950         BOWLER        Naseem Shah               BOWL_START
62951         BOWLER        Naseem Shah               BOWL_END
62959         STRIKER       Ravindra Jadeja           BAT_START
62966         STRIKER       Ravindra Jadeja           BAT_END
62967         STRIKER       Ravindra Jadeja           RUN_START
62967         FIELDER       Mohammad Wasim Jr.        CATCH
62973         NON_STRIKER   Suryakumar Yadav          RUN_START
65416         NON_STRIKER   Suryakumar Yadav          RUN_END
65661         STRIKER       Ravindra Jadeja           RUN_END
65894         BOWLER        Naseem Shah               BOWL_START
65901         BOWLER        Naseem Shah               BOWL_END
65904         STRIKER       Suryakumar Yadav          BAT_START
65912         STRIKER       Suryakumar Yadav          BAT_END
65914         STRIKER       Suryakumar Yadav          RUN_START
65916         FIELDER       Shaheen Afridi            CATCH
65956         NON_STRIKER   Ravindra Jadeja           RUN_START
67413         STRIKER       Suryakumar Yadav          RUN_END
68690         NON_STRIKER   Ravindra Jadeja           RUN_END
68827         BOWLER        Naseem Shah               BOWL_START
68833         BOWLER        Naseem Shah               BOWL_END
68838         STRIKER       Suryakumar Yadav          BAT_START
68854         STRIKER       Suryakumar Yadav          BAT_END
68855         STRIKER       Suryakumar Yadav          RUN_START
68858         FIELDER       Shadab Khan               CATCH
68864         NON_STRIKER   Ravindra Jadeja           RUN_START
71454         STRIKER       Suryakumar Yadav          RUN_END
71557         NON_STRIKER   Ravindra Jadeja           RUN_END
71768         BOWLER        Naseem Shah               BOWL_START
71773         BOWLER        Naseem Shah               BOWL_END
71782         STRIKER       Suryakumar Yadav          BAT_START
71795         STRIKER       Suryakumar Yadav          BAT_END
71797         STRIKER       Suryakumar Yadav          RUN_START
71798         FIELDER       Haris Rauf                CATCH
71839         NON_STRIKER   Ravindra Jadeja           RUN_START
73072         NON_STRIKER   Ravindra Jadeja           RUN_END
73240         STRIKER       Suryakumar Yadav          RUN_END
73442         BOWLER        Naseem Shah               BOWL_START
73450         BOWLER        Naseem Shah               BOWL_END
73456         STRIKER       Suryakumar Yadav          BAT_START
73527         STRIKER       Suryakumar Yadav          BAT_END
73528         FIELDER       Fakhar Zaman              CATCH
73529         STRIKER       Suryakumar Yadav          RUN_START
73537         NON_STRIKER   Ravindra Jadeja           RUN_START
75106         STRIKER       Suryakumar Yadav          RUN_END
76355         NON_STRIKER   Ravindra Jadeja           RUN_END
76627         BOWLER        Naseem Shah               BOWL_START
76635         BOWLER        Naseem Shah               BOWL_END
76644         STRIKER       Ravindra Jadeja           BAT_START
76664         STRIKER       Ravindra Jadeja           BAT_END
76665         FIELDER       Babar Azam                CATCH
76667         STRIKER       Ravindra Jadeja           RUN_START
76674         NON_STRIKER   Suryakumar Yadav          RUN_START
79349         STRIKER       Ravindra Jadeja           RUN_END
79364         NON_STRIKER   Suryakumar Yadav          RUN_END
79626         BOWLER        Haris Rauf                BOWL_START
